# Part	Description				Flags	Pins
74152	8-Channel Data Selector		14
74153	Dual 4 Input Multiplexer		16
74154	4 Line to 16 Line Decoder Demultiplexer		24
74155	Dual 2 to 4 Demultiplexer		18
74156	Dual 2 to 4 Demultiplexer (OC)		16
74157	Quad 2 Input Multiplexer (9322)		16
74158	Quad 2 Input Data Selector/Multiplexer		16
74159	4 to 16 Line Decoder		24
74160	Synchronous 4 Bit Decade Counter		16
74161	Synchronous 4 Bit Binary Counter		16
74162	Synchronous 4 Bit Binary Counter		16
74163	Binary Synchronous 4 Bit Counter		16
74164	8 Bit Serial In/Parallel Out shift register		14
74165	8 Bit Parallel In/Serial Out shift register		16
74166	8 Bit Parallel In/Serial Out shift register		16
74169	Synchronous 4 Bit Binary Up/Down Counter		16
74170	4 X 4 Register File (O/C)		16
74173	Tri-State Quad D Flip/Flop		16
74174	Hex D Type Flip/Flop with Clear		16
74175	Quad D Type Edge Triggered Flip/Flop		16
74176	Pre-settable 35-Mhz Decade Counter		14
74177	Pre-settable 35-Mhz 4-Bit Binary Counter		14
74180	8-Bit Odd/Even Parity Generator/Checker		14
74181	Arithmetic Logic Unit / Function Generator		24
74182	Look-Ahead Carry Generator		16
74189	64 Bit BIPOLAR Scratch Pad Memory		16
74190	Synchronous Decade Up/Down Counter		16
74191	Synchronous Binary Up/Down Counter		16
74192	Synchronous Bcd Decade Up/Down Counter		16
74193	Synchronous Binary Up/Down Counter		16
74194	4 Bit Bi-Directional Universal shift register		16
74195	4 Bit Parallel Access shift register		16
74196	Pre-settable 50-Mhz 4-Bit Decade Counter		14
74197	Pre-settable 50-Mhz 4-Bit Binary Counter		14
74199	8-Bit Bidirectional Universal shift register		24
74221	Dual Monostable Multivibrator with Clear		16
74224	16 x 4 Synchronous FIFO with 3-state outputs		16
74229	16 x 5 synchronous FIFO memory		20
74232	16 x 4 synchronous FIFO memory		16
74236	64 x 4 synchronous FIFO memory		16
74237	3 to 8 Line Latched Decoder		16
74238	3 to 8 Line Non-Inverting Decoder		16
74240	Octal Tri-State Inverter Buffer		20
74241	Octal Tri-State Buffer		20
74243	Quad Bus Transceiver		14
74244	Octal Tri-State Buffer		20
74245	Octal Tri-State Transceiver		20
74247	BCD to 7-segment Decoder/Driver		16
74251	Data Selector/Multiplexer		16
74253	Tri-State Dual 4 Input Multiplexer		16
74257	Tri-State Quad 2 Input Multiplexer		16
74258	Tri-State Quad 2 Input Multiplexer		16
74259	8 Bit Addressable Latch		16
74260	Dual 5 Bit Input NOR Gate		14
74265	Quad Complementary-Output Elements		16
74266	Quad 2-Input exclusive-NOR Gate O/C outputs		14
74269	8 Bit Up/Down Counter		24
74273	Octal D Type Flip/Flop with Clear		20
74276	Quad J-K Flip Flop		20
74279	Quad R-S Latch		16
74280	9 Bit Parity Generator/Checker		14
74283	4 Bit Binary Adder		16
74284	Tri-State 4-Bit Multiplexer (Multiplier?)		16
74285	Tri-State 4-Bit Multiplexer (Multiplier?)		16
74286	9 Bit Parity Generator/Checker		14
74292	16 Bit Programmable Frequency Divider		16
74293	4-bit Binary Counters		14
74294	16 Bit Programmable Frequency Divider		16
74297	Digital Phase Locked Loop		16
74298	Quad 2-input Multiplexers with storage		16
74299	8 Bit Shift/Storage Register		20
74321	Crystal Oscillator		16
74323	8 Bit Shift/Storage Register		20
74348	8 to 3 Priority Encoder		16
74351	Dual Data Selector/Multiplexer T.S. Output		20
74365	Tri-State Hex Buffer		16
74366	Hex Inverting Bus Drivers		16
74367	Tri-State Hex Buffer		16
74368	Tri-State Hex Inverter		16
74373	Tri-State Octal Transparent Latch		20
74374	Tri-State Octal D Flip/Flop		20
74375	Quad Latch		16
74377	Octal D Type Flip/Flop with Enable		20
74378	Hex D Flip/Flop with Enable		16
74379	Hex D Flip/Flop with Enable Inverted Outputs		16
74390	Dual Decade Ripple Counter		16
74393	Dual 4 Bit Binary Ripple Counter		14
74399	Quad 2 Input Multiplexer		16
74423	Multivibrator (no trigger from clear)		16
74442	Quad tri-directional bus drivers		20
74465	Octal Buffer Tri-State Output		20
74518	Octal Comparator		20
74520	Octal Comparator		20
74521	Octal Comparator		20
74533	Octal Transparent latch Tri-State Output		20
74534	Inverting Octal D Flip/Flop		20
74540	Octal Buffer and Line DR/RX Inverted		20
74541	Octal Buffer and Line DR/RX Non- Inverting		20
74543	Octal Registered Transceiver		24
74545	Octal Tri-State Transceiver		24
74561	Synchronous 4-bit counters  3-state		20
74563	Inverted Octal D Type Latch		20
74564	Octal D Type Latch		20
74569	Synchronous Bi-Directional Binary Counter		20
74573	Octal D Type Latches		20
74574	Octal D Type Flip/Flop		20
74575	Octal D Type Flip/Flop		20
74576	Inverting Octal D Type Flip/Flop		20
74577	Octal D Type Flip/Flop		20
74579	8 Bit Up/Down Counter		20
74580	Inverting Octal D Type Latch		20
74589	8 Bit shift register with Input Latch		16
74590	8 Bit Binary Counter O/P Register 3-state		16
74592	8 Bit Binary Counter with Input Register		16
74593	8 Bit Binary Counter O/P Register TS I/O		16
74594	8 Bit Binary Counter O/P Register TS I/O		16
74595	8 Bit shift register with Output Latch		16
74596	8 Bit shift register with Output Latch		16
74597	8 Bit shift register with Input Latch		16
74598	8 Bit shift register with Input Latch		16
74604	16 to 8 Multiplexer (High Speed)		28
74620	Octal Bus Transceivers		20
74621	Octal Bus Transceivers		20
74623	Octal Bus Transceivers		20
74624	Voltage Controlled Oscillator		14
74628	Voltage Controlled Oscillator		14
74629	Voltage Controlled Oscillator		16
74638	Octal Bus Transceivers		20
74639	Octal Bus Transceivers		20
74640	Octal Bus Transceiver		20
74641	Octal Bus Transceiver		20
74642	Octal Bus Transceiver		20
74645	Octal Bus Transceiver		20
74646	Octal TS Bus Transceiver Non-Inverting		24
74648	Octal TS Bus Transceiver Inverting		24
74651	Octal Bus Transceiver Non-Inverting		24
74652	Octal Bus Transceiver Non-Inverting		24
74653	Octal Bus Transceiver		24
74654	Octal Bus Transceiver		24
74666	Octal D Type Latch 3-state		24
74667	Octal D Type Latch 3-state		24
74669	Synchronous 4-Bit Up/Down Binary Counter		16
74670	Tri-State 4 Register File		16
74673	16 Bit shift register 16 Bit Parallel Output		24
74674	16 Bit shift register 16 Bit Parallel Output		24
74675	16 Bit shift register 16 Bit Parallel Output		24
74676	16 Bit shift register 16 Bit Parallel Output		24
74679	12-Bit Address Comparators		20
74682	8 Bit Magnitude Comparator		20
74684	8 Bit Magnitude Comparator		20
74688	8 Bit Magnitude Comparator		20
74697	Synchronous 4-Bit Up/Down Binary Counter		20
74760	Octal Buffer & Line Driver OC		20
74779	8-bit bidirectional binary counter  3-state		16
74804	Hex 2-input NAND drivers		20
74805	Hex 2-input NOR drivers		20
74821	10 Bit D Type Flip/Flop		24
74823	9 Bit D Type Flip/Flop		24
74825	8 Bit D Type Flip/Flop		24
74827	10 Bit Buffer/Line Driver		24
74832	Hex 2-input OR drivers		20
74841	10 Bit Transparent Latch		24
74843	9 Bit Transparent Latch		24
74857	Hex 2-line to 1-line multiplexer 3-state		24
74867	Synchronous 8-bit up/down Binary Counter		20
74869	Synchronous 8-bit up/down Binary Counter		20
74870	Dual 16 by 4 register files		24
74873	Dual 4-bit latches 3-state		24
74874	Dual 4-bit D-type flip flops 3-state		24
74876	Dual 4-bit D-type flip flops 3-state		24
74899	9-Bit Latchable Transceiver with parity checker/generator		28
74902	Hex Buffer (TTL Interface)		14
74906	Open Drain Buffer (Active Pull Down)		14
74908	Dual High Voltage CMOS Driver		8
74912	Display Controller 6 Digit 8 Segment		28
74914	Hex Schmitt Trigger External Voltage Inputs		14
74917	6-Digit Hex Display Controller
74922	16 Key Keyboard Encoder		18
74923	20 Key Keyboard Encoder		20
74925	4 Digit Counter Multiplexed 7 Segment Drive		16
74990	Octal D-type Latch 3-state		20
74992	9-Bit D-type read-back latch 3-state		24
74994	10-Bit D-type read-back latch		24
74996	Octal D-type read-back latch		24
