# Extracted from
# From  bitsavers.org  bitsavers/components/signetics/_dataBooks/1991_Signetics_Master_Product_Catalog.pdf
N8X372-014	8-BIT I/0 PORT
N8X372-015	8-BIT I/O PORT
N8X376	8-BIT I/O PORT
N8X376-005	8-BIT 1/O PORT
N8X376-006	8-BIT 1/0 PORT
N8X376-014	8-BIT 1/0 PORT
N8X376-015	8-BIT I/O PORT
N8X401	8-BIT MCU
N8X41	AUTO DIR BUS TRANSCEIVER
N8X60	FIFO RAM CONTROLLER
N82HS195	16K PROM (4096 × 4) TS 45NS
N82HS195A	16K PROM (4096 x 4) TS 35NS
N82HS195B	16K PROM (4096 x 4) TS 25NS
N82HS321	32K PROM (4096 x 8) TS 45NS
N82HS321A	32K PROM (4096 x 8) TS 35NS
N82HS321B	32K PROM (4096 x 8) TS 30NS
N82HS641	64K PROM (8192 x 8) TS 55NS
N82HS641A	64K PROM (8192 x 8) TS 45NS
N82HS641B	64K PROM (8192 x 8) TS 35NS
N82LS135	2K PROM (256 x 8) TS 100NS
N82LS16	256-BIT RAM LOW POWER (256 x 1) TS
N82509	576-BIT RAM (64 x 9) 45NS
N82S09A	576-BIT RAM (64 x 9) 35NS
N82S115	4K PROM (512 x 8) LATCHED 24P
N82S123	256-BIT PROM (32 x 8) TS 50NS
N82S123A	256-BIT PROM (32 x 8) TS 25NS
N82S126	1K PROM (256 x 4) OC 50NS
N82S126A	1K PROM (256 x 4) OC 30NS
N82S129	1K PROM (256 x 4) TS 50NS
N82S129A	1K PROM (256 x 4) TS 27NS
N82S130	2K PROM (512 x 4) OC 50NS
N82S130A	2K PROM (512 x 4) OC 33NS
N82S131	2K PROM (512 x 4) TS 50NS
N82S131A	2K PROM (512 x 4) TS 30NS
N82S135	2K PROM (256 x 8) TS 45NS
N82S137	4K PROM (1K x 4) TS 60NS
N82S137A	4K PROM (1K x 4) TS 45NS
N82S137B	4K PROM (1K x 4) TS 35NS
N82S141	4K PROM (512 x 8) TS 60NS
N82S141A	4K PROM (512 x 8) TS 45NS
N82S147	4K PROM (512 x 8) TS 60NS
N82S147A	4K PROM (512 x 8) TS 45NS
N82S147B	4K PROM (512 x 8) TS 25NS
N82S16	256-BIT RAM (256 x 1) TS
N82S181	8K PROM (1024 x 8) TS 70NS
N82S181A	8K PROM (1024 x 8) TS 55NS
N82S181C	8K PROM (1024 x 8) TS 35NS
N82S183	8192-BIT LATCH PROM (1024 x 8) TS
N82S185	8K PROM (2048 x 4) TS 100NS
N82S185A	8K PROM (2048 x 4) TS 50NS
N82S185B	8K PROM (2048 x 4) TS 45NS
N82S185C	8K PROM (2048 x 4) TS 30NS
N82S19	576-BIT RAM (64 x 9) OC 35NS
N82S191	16K PROM (2048 x 8) TS 80NS
N82S191A	16K PROM (2048 x 8) TS 35NS
N82S191C	16K PROM (2048 x 8) TS 35NS
N82S212	2304-BIT RAM (256 x 9) TS 45NS
N82S212A	2304-BIT RAM (256 x 9) TS 35NS
N82S23	256-BIT PROM (32 x 8) OC 50NS
N82S23A	256- BIT PROM (32 x 8) OC 25NS
N82S25	64- BIT RAM (16 x 4) OC
N82S62	9-BIT PARITY GENERATOR/CHECKER
N8274	10-BIT P/IN-S/OUT REGISTER
N9310	DECADE COUNTER
N9316	4-BIT BINARY COUNTER
N9324	5-BIT COMPARATOR
N9401	CRC GENERATOR CHECKER
N9403	EXPANDABLE FIFO BUFFER MEMORY
N9602	DUAL RETRIG 1-SHOT
OM1016S1	I2C DEMO KIT
OM1070	PROBE FOR PCF84C85
OM1071	PROBE FOR PCD3344
OM1072	PROBE FOR PCF84C230/430
OM1073	PROBE FOR PCF84C121
OM1076	PROBE FOR PCD3346
OM1077	PROBE FOR PCF84C270
OM1081	PROBE FOR PCF84C853A
OM1083	PROBE FOR PCF84C21/41/81/12/42
OM1087A	SDS SYSTEM WITH TRACE
PCAN-EVAL	CAN CONTALER EVALUT(BI)-OM4130
PCA3344B	PIGGYBACK FOR PCD3344/47/49
PCA3346B	PIGGYBACK FOR PCD3346
PCA5000AT	POCSAG PAGER DECODER
PCA82C200P	CAN SERIAL BUS INTERFACE
PCA82C200T	CAN SERIAL BUS INTERFACE VSO40
PCA84C121B	PIGGYBACK FOR PCF84C121
PCA84C430B	PIGGYBACK FOR PCF84C430
PCA84C85B	PIGGYBACK FOR PCF84C85
PCA84C853B	PIGGYBACK FOR PCF84C853
PCA8582BP	256 x 8 EEPROM KC BUS
